from_state,to_state,time_s,source_line
select,pick,0.951,10
pick,verify,11.973,30
verify,transport,12.587,31
transport,place,15.936,32
place,select,19.283,33
select,pick,21.8,34
pick,verify,46.377,65
verify,transport,46.99,66
transport,place,49.982,67
place,select,53.587,68
select,pick,56.36,69
pick,select,107.852,102
select,pick,110.008,103
pick,verify,119.992,123
verify,transport,120.604,124
transport,place,122.654,125
place,select,126.175,126
select,pick,128.604,127
pick,verify,138.814,150
verify,transport,139.426,151
transport,place,142.103,191
place,select,146.649,192
select,pick,148.581,193
