elapsed_s,detected,matched,median_px,p95_px,rms_px,max_px
0.6,278,263,0.094,0.237,0.164,1.260
6.2,283,272,0.092,0.231,0.145,1.204
11.7,289,273,0.476,0.691,0.505,1.487
17.3,313,273,1.429,2.775,1.723,3.151
22.9,297,285,2.076,2.508,2.085,3.202
28.4,293,264,2.264,2.736,2.294,3.468
34.0,284,238,2.304,2.732,2.405,6.272
39.5,251,211,1.863,2.456,2.535,16.049
45.1,283,273,1.369,1.698,1.385,2.182
50.7,287,275,1.292,1.534,1.310,2.079
56.3,289,268,1.211,1.497,1.223,1.841
60.5,293,265,1.125,1.416,1.143,1.771
