elapsed_s,detected,matched,median_px,p95_px,rms_px,max_px
0.6,328,171,14.662,17.637,14.499,17.965
11.2,314,168,14.658,17.631,14.475,17.884
21.8,312,169,14.633,17.574,14.481,17.971
32.4,312,168,14.600,17.638,14.440,17.994
43.0,317,170,14.623,17.609,14.444,17.956
53.6,308,171,14.520,17.658,14.389,17.914
64.3,332,170,14.551,17.588,14.414,17.985
74.8,321,176,14.538,17.633,14.409,17.956
85.4,328,173,14.528,17.722,14.428,17.970
96.0,317,175,14.482,17.628,14.355,17.987
106.6,274,173,14.457,17.729,14.363,17.998
117.2,323,177,14.539,17.735,14.331,17.931
