elapsed_s,detected,matched,median_px,p95_px,rms_px,max_px
0.7,285,260,0.087,0.288,0.752,11.830
6.3,272,257,0.107,0.271,0.166,1.339
11.9,297,261,0.120,0.347,1.037,11.701
17.4,284,250,0.134,0.341,0.769,11.764
23.0,293,277,0.154,0.385,1.023,12.354
28.7,274,268,0.162,0.386,0.744,11.725
34.3,286,271,0.166,0.343,0.222,1.252
39.9,293,280,0.192,0.383,0.261,1.488
45.4,285,280,0.213,0.434,0.322,3.029
51.1,294,270,0.226,0.432,0.279,1.392
56.6,283,251,0.244,0.514,0.340,2.747
60.5,285,265,0.257,0.494,0.816,12.281
